METHOD,SIZE,PROCESSORS/threads,EXEC_TIME,TIMESTAMP
MPI,1024x1024,2,0.880700,13:31:10
MPI,1024x1024,2,0.880634,13:31:27
MPI,2056x2056,2,7.160241,13:31:37
MPI,2056x2056,4,3.522744,13:32:15
MPI,512x512,1,0.219794,17:47:51
MPI,1024x1024,1,1.765632,17:48:44
MPI,1024x1024,1,1.775415,17:50:20
MPI,2056x2056,1,14.118918,17:51:49
MPI,2056x2056,1,14.014356,17:55:07
MPI,2056x2056,2,7.286063,17:57:28
MPI,1024x1024,2,0.881858,19:16:26
MPI,1024x1024,4,0.441515,19:16:46
MPI,4096x4096,4,28.102261,19:17:35
MPI,8096x8096,4,213.915667,19:28:26
MPI,4096x4096,8,14.258269,19:28:50
