METHOD,SIZE,PROCESSORS/threads,EXEC_TIME,TIMESTAMP
OPENMP,32x32,8,0.015306,
OPENMP,64x64,8,0.083479,
OPENMP,128x128,8,0.085524,
OPENMP,256x256,8,0.091902,
OPENMP,512x512,8,0.017088,
OPENMP,1024x1024,8,0.122530,
OPENMP,2048x2048,8,1.174695,
OPENMP,32x32,8,0.015915,
OPENMP,64x64,8,0.022616,
OPENMP,128x128,8,0.091300,
OPENMP,256x256,8,0.013032,
OPENMP,512x512,8,0.017921,
OPENMP,1024x1024,8,0.121440,
OPENMP,2048x2048,8,1.139110,
OPENMP,32x32,8,0.000367,
OPENMP,64x64,8,0.000505,
OPENMP,128x128,8,0.001946,
OPENMP,256x256,8,0.005010,
OPENMP,512x512,8,0.041295,
OPENMP,1024x1024,8,0.248986,
OPENMP,2048x2048,8,2.070385,
OPENMP,4096x4096,8,16.111358,
OPENMP,8096x8096,8,130.377858,
OPENMP,32x32,8,0.000318,
OPENMP,64x64,8,0.000500,
OPENMP,128x128,8,0.001514,
OPENMP,256x256,8,0.005768,
OPENMP,512x512,8,0.036680,
OPENMP,1024x1024,8,0.254463,
OPENMP,2048x2048,8,1.937732,
OPENMP,4096x4096,8,16.484535,
OPENMP,125x125,4,0.015042,10:35:53
OPENMP,256x256,4,0.014178,10:36:00
OPENMP,512x512,4,0.018351,10:45:32
OPENMP,1024x1024,4,0.078297,10:45:39
OPENMP,2048x2048,4,1.208311,10:45:46
OPENMP,32x32,4,0.015798,
OPENMP,64x64,4,0.016990,
OPENMP,128x128,4,0.085684,
OPENMP,256x256,4,0.015708,
OPENMP,512x512,4,0.058350,
OPENMP,1024x1024,4,0.119480,
OPENMP,2048x2048,4,1.128320,
OPENMP,32x32,4,0.014361,
OPENMP,64x64,4,0.018316,
OPENMP,128x128,4,0.080683,
OPENMP,256x256,4,0.088921,
OPENMP,512x512,4,0.041995,
OPENMP,1024x1024,4,0.120700,
OPENMP,2048x2048,4,1.139848,
